Node,Betweenness
363,0.12914844485736615
1072,0.08042027761428075
311,0.03651844417380671
1846,0.02841903471362411
617,0.023804555707330748
663560,0.02088719450904383
727,0.015264739427081887
4,0.014633434057621455
665990,0.014379990095374273
2526,0.011991472122955633
106,0.011598061814692204
1491,0.010832778565493346
1490,0.009954080960369736
2486,0.00962945574961041
701,0.009614238651806424
114922,0.00925769127323867
1064,0.009242306699035632
1013,0.008289134685186283
543,0.00772986423737724
7731,0.007220577758965508
3156,0.007112325967169247
2474,0.006614505685847743
210,0.005984499844344422
6430,0.0059261953881680806
13568,0.00570483448920027
3524,0.0054647178011360984
60444,0.005307772387700626
1037,0.004991347424497523
15144,0.004486629185773221
16173,0.004406654566413335
2302,0.004401792655522548
4444,0.00432901484364171
3100,0.004317107094283835
23463,0.00417653559741401
21342,0.004143452907741226
20257,0.004104260491920895
10844,0.003949782538698866
6396,0.00384187883013842
20903,0.0038289758464912192
1034018,0.0037701716990564144
806,0.0036715799325278283
14027,0.003523665329546381
44006,0.0034247517743259924
1809,0.0034150215990672896
6441,0.003412079163014887
1042,0.0033670081460848884
20934,0.0032765113933204723
811,0.003274356341032082
61544,0.003213855303486307
2122,0.0031970685476794838
4719,0.0031419671103343396
455,0.003120234931029057
13601,0.0031196072798777247
6401,0.003103857043313624
404,0.0030619596783762132
96070,0.0030354361442287326
5204,0.0029785954664278127
13025,0.002970162964800104
480,0.0029515134357888722
1975,0.002918482497413647
5274,0.002899342915021346
6454,0.0028793627465106054
5595,0.0028741733013890602
6460,0.0028396821713778907
6268,0.002824710563394624
2711,0.0027930970210200638
37340,0.0027922395194925113
18173,0.002779995597928345
37315,0.0027452913777898983
21171,0.0027151277045336813
78,0.0026650293211138033
5235,0.002660479840853837
20235,0.002623689288542453
4542,0.0025599408787022253
1835,0.0025280880009405076
20200,0.002514744030158379
20042,0.0024818231734311477
20364,0.002453949398831855
470,0.002430682332530491
20328,0.002419880092467488
2687,0.0024140147487625167
7828,0.0023731218016555754
2421,0.002352283047395746
6382,0.002347801428081469
4419,0.002315780658589475
1814,0.00228824587424287
4649,0.0022670560978489806
1024,0.002228954177284342
7785,0.0022224238664850767
38338,0.002211630279082783
97139,0.002201425955133667
773,0.002192760740586594
18106,0.0021504810339049068
20082,0.0021093923434495785
20593,0.0020977672736423544
1169,0.002088659202645736
730,0.002055241792167187
1191,0.002012554067338862
2599,0.0020085726403472628
8001,0.0020061954267887763
10827,0.001991385426867183
530,0.001977390632379894
2760,0.001964174983607257
21352,0.001948443207712126
17405,0.0018988878575768697
1500,0.001898467557731868
5694,0.0018326825555841056
8746,0.0018178199210476507
1119,0.001791125960246201
967,0.0017887683095107346
890,0.0017827104041856939
1259,0.001774337410384223
17956,0.0017717981924100566
2633,0.0017700786048198945
2642,0.0017520018890581528
21160,0.0017512223863786853
6211,0.0017328146580486098
11010,0.0017038178747317213
104,0.0016215584307758687
20000,0.001597793375624978
4614,0.0015940230179546833
75544,0.0015818722342026076
11810,0.0015807178782895016
2317,0.0015742969060645615
20734,0.001529083933188614
1070,0.0015185490953533078
1168,0.0015086640372519856
23130,0.0014962113772571987
6463,0.0014500084960099471
280436,0.0014492369214855211
357531,0.0014485531153190922
2173,0.0014422235928144155
666763,0.0014399192651670155
666653,0.0014380484521985116
803,0.001422273101422008
517,0.0014041709920429657
38385,0.001403553682483334
643,0.001397263552281476
11835,0.0013957884895706549
20727,0.0013938081998970753
7888,0.001388196705647733
1705,0.0013880464565484765
1065,0.0013790832500086157
663852,0.0013788101733605786
20138,0.0013780707826052594
1161,0.001360783886166613
384,0.0013584546223624966
237684,0.0013577452490046496
2549,0.001343336921597546
20053,0.0013427699957184477
1272,0.0013303988986816796
93540,0.0013248267490948058
1911,0.0013202593694582392
2287,0.0013080058165515717
1266,0.001307102400956112
18824,0.0013051569405967305
8549,0.0012725977431808848
62876,0.00126797967392644
21250,0.0012522069998371292
18620,0.0012499528192208486
5702,0.0012242456641416073
8387,0.0012163758093380965
367,0.0012133649759731803
91,0.00119475269904808
3556,0.0011795702272112605
51842,0.001179437622596228
866,0.0011652596905583916
6426,0.0011588589325077427
1959,0.0011514899888091534
20508,0.0011510986230372751
9735,0.001146701055550144
72,0.00114556824036861
2508,0.0011397068010017086
2198,0.001133573860691472
664789,0.0011259257281080047
249,0.001123780555144842
667116,0.0011230565518114612
4348,0.0011209609138062356
47764,0.0010924527852486426
802,0.0010832025642227103
341,0.0010784093639197077
928,0.0010742192525353127
21138,0.0010651001403967843
1823,0.001063307064149638
3163,0.0010578552771018913
927,0.001052000588286671
60086,0.0010488536228835676
18371,0.0010054369157584458
30132,0.0010029967254450202
21118,0.0009969637112853186
881,0.0009944535924378052
940,0.0009941505311070744
2283,0.0009900709763666618
8185,0.000978466471310235
743,0.0009746670627713261
16014,0.000969307424733574
2560,0.0009680657987906019
6519,0.0009647732928110862
2721,0.0009519941958177646
153278,0.0009475212230396097
197,0.0009442444644867341
21034,0.0009418054622007068
3696,0.0009390538909192746
7896,0.0009286847842514953
11838,0.00092128032301407
4563,0.0009167028282716832
104691,0.0009158852116711294
875,0.0009105276696163594
18614,0.0008760678593077142
882,0.0008573367830181729
